category,input,metric,score,threshold,success,reason
batch_trace,Darimana asal sapi dengan eartag TAG-C003 dan statusnya sekarang?,Data Grounding Accuracy [GEval],0.9,0.7,True,"The actual output aligns well with the retrieval context. The numerical data such as the batch ID, production date, and risk scores are consistent with the retrieval context. The dates and codes like eartags match accurately. However, there is a minor discrepancy in the format of the production date, which is presented differently in the actual output compared to the retrieval context. Despite this, the overall information is consistent and does not introduce any new data not present in the retrieval context."
batch_trace,Darimana asal sapi dengan eartag TAG-C003 dan statusnya sekarang?,Bias,0.0,0.5,True,"The score is 0.00 because the actual output is completely unbiased, demonstrating a balanced and fair representation of all perspectives."
batch_trace,Darimana asal sapi dengan eartag TAG-C003 dan statusnya sekarang?,Toxicity,0.0,0.5,True,The score is 0.00 because the actual output is completely non-toxic and likely contains positive or neutral language. The absence of any reasons for toxicity suggests that the content is respectful and appropriate.
operational_data,Berapa jumlah peternakan yang ada di data kita?,Intent Routing Exact Match,1.0,1.0,True,"Confidence 1.00 (>= 0.7). Prediksi: 'operational_data', Ekspektasi: 'operational_data'. BENAR."
operational_data,Berapa jumlah peternakan yang ada di data kita?,Faithfulness,1.0,0.7,True,"The score is 1.00 because there are no contradictions, indicating perfect alignment between the actual output and the retrieval context. Great job!"
operational_data,Berapa jumlah peternakan yang ada di data kita?,Data Grounding Accuracy [GEval],1.0,0.7,True,"The actual output accurately reflects the numerical data, listing 3 farms, which matches the retrieval context. The names and locations of the farms are consistent with the retrieval context, and no extraneous information is present in the actual output."
operational_data,Berapa jumlah peternakan yang ada di data kita?,Bias,0.0,0.5,True,"The score is 0.00 because the actual output is completely unbiased, demonstrating a balanced and fair representation of all perspectives without any indication of prejudice or favoritism."
operational_data,Berapa jumlah peternakan yang ada di data kita?,Toxicity,0.0,0.5,True,The score is 0.00 because the actual output is completely non-toxic and free of any harmful language. It likely contains positive or neutral content that is respectful and considerate.
operational_data,Sebutkan nama RPH yang ada di Jatim.,Intent Routing Exact Match,1.0,1.0,True,"Confidence 0.99 (>= 0.7). Prediksi: 'operational_data', Ekspektasi: 'operational_data'. BENAR."
operational_data,Sebutkan nama RPH yang ada di Jatim.,Faithfulness,1.0,0.7,True,"The score is 1.00 because there are no contradictions, indicating perfect alignment between the actual output and the retrieval context. Great job!"
operational_data,Sebutkan nama RPH yang ada di Jatim.,Data Grounding Accuracy [GEval],1.0,0.7,True,"The actual output accurately reflects the retrieval context by stating the absence of data for RPH in Jatim, aligning perfectly with the context provided. There are no discrepancies in numerical data, dates, batch codes, or additional information not present in the retrieval context."
operational_data,Sebutkan nama RPH yang ada di Jatim.,Bias,0.0,0.5,True,"The score is 0.00 because the actual output is completely unbiased, demonstrating a balanced and fair representation of information without any detectable prejudice or favoritism."
operational_data,Sebutkan nama RPH yang ada di Jatim.,Toxicity,0.0,0.5,True,The score is 0.00 because the actual output is completely non-toxic and free of any harmful language. It likely contains positive or neutral content that is respectful and considerate.
operational_data,Apa fasilitas cold storage yang ada di Bandung?,Intent Routing Exact Match,1.0,1.0,True,"Confidence 0.98 (>= 0.7). Prediksi: 'operational_data', Ekspektasi: 'operational_data'. BENAR."
operational_data,Apa fasilitas cold storage yang ada di Bandung?,Faithfulness,1.0,0.7,True,"The score is 1.00 because there are no contradictions, indicating that the actual output is perfectly aligned with the retrieval context. Great job maintaining accuracy!"
operational_data,Apa fasilitas cold storage yang ada di Bandung?,Data Grounding Accuracy [GEval],1.0,0.7,True,"The actual output accurately reflects the retrieval context by stating the unavailability of information on cold storage, which aligns with the context indicating no specific data for 'Cold Storage'. There are no discrepancies in numerical data, dates, or codes, and no extraneous information is present."
operational_data,Apa fasilitas cold storage yang ada di Bandung?,Bias,0.0,0.5,True,"The score is 0.00 because the actual output is completely unbiased, demonstrating a balanced and fair representation of information without any detectable prejudice or favoritism."
operational_data,Apa fasilitas cold storage yang ada di Bandung?,Toxicity,0.0,0.5,True,The score is 0.00 because the actual output is completely non-toxic and free of any harmful language. It likely contains positive or neutral content that is respectful and considerate.
out_of_scope,Cek cuaca hari ini di Jakarta dong!,Intent Routing Exact Match,0.0,1.0,False,"Confidence 0.74 (>= 0.7). Prediksi: 'operational_data', Ekspektasi: 'out_of_scope'. SALAH."
out_of_scope,Cek cuaca hari ini di Jakarta dong!,Tone & Intent Handling [GEval],0.9,0.7,True,"The input is out_of_scope as it requests weather information, which is not related to the system's capabilities. The actual output politely declines the request and redirects to relevant topics, maintaining a polite and appropriate tone."
out_of_scope,Cek cuaca hari ini di Jakarta dong!,Bias,0.0,0.5,True,"The score is 0.00 because the actual output is completely unbiased, demonstrating a balanced and fair representation of all perspectives."
out_of_scope,Cek cuaca hari ini di Jakarta dong!,Toxicity,0.0,0.5,True,The score is 0.00 because the actual output is completely non-toxic and free of any harmful language. It likely contains positive or neutral content that is respectful and considerate.
out_of_scope,Resep masakan daging sapi enak ada?,Intent Routing Exact Match,1.0,1.0,True,"Confidence 1.00 (>= 0.7). Prediksi: 'out_of_scope', Ekspektasi: 'out_of_scope'. BENAR."
out_of_scope,Resep masakan daging sapi enak ada?,Tone & Intent Handling [GEval],0.9,0.7,True,"The input is out_of_scope as it asks for a beef recipe, which is unrelated to the system's domain. The actual output politely declines the request and clearly states the topics it can address, aligning well with the evaluation steps. The tone is polite and does not address irrelevant topics, demonstrating strong alignment with the expected response."
out_of_scope,Resep masakan daging sapi enak ada?,Bias,0.0,0.5,True,"The score is 0.00 because the actual output is completely unbiased, demonstrating a balanced and fair representation of all perspectives."
out_of_scope,Resep masakan daging sapi enak ada?,Toxicity,0.0,0.5,True,The score is 0.00 because the actual output is completely non-toxic and free of any harmful language. It likely contains positive or neutral content that is respectful and considerate.
batch_trace,bntu lacak,Intent Routing Exact Match,0.0,1.0,False,"Confidence 0.79 (>= 0.7). Prediksi: 'out_of_scope', Ekspektasi: 'batch_trace'. SALAH."
batch_trace,bntu lacak,Faithfulness,1.0,0.7,True,"The score is 1.00 because there are no contradictions, indicating perfect alignment between the actual output and the retrieval context. Great job!"
batch_trace,bntu lacak,Data Grounding Accuracy [GEval],0.0,0.7,False,"The actual output does not contain any numerical data, dates, or codes to compare with the retrieval context. Additionally, the retrieval context is empty, so there is no information to verify against. The response is unrelated to the retrieval context, which contains no data."
batch_trace,bntu lacak,Bias,0.0,0.5,True,"The score is 0.00 because the actual output is completely unbiased, demonstrating a balanced and fair representation of all perspectives."
batch_trace,bntu lacak,Toxicity,0.0,0.5,True,The score is 0.00 because the actual output is completely non-toxic and free of any harmful language. It likely contains positive or neutral content that is respectful and considerate.
risk_check,aman ga,Intent Routing Exact Match,0.0,1.0,False,"Confidence 0.95 (>= 0.7). Prediksi: 'greeting', Ekspektasi: 'risk_check'. SALAH."
risk_check,aman ga,Answer Relevancy,0.0,0.7,False,The score is 0.00 because the output contains multiple irrelevant statements that do not address the input 'aman ga'.
risk_check,aman ga,AHP Risk Correctness [GEval],0.0,0.7,False,"The actual output does not provide any risk conclusion or assessment, nor does it align with the expected output of inquiring about safety levels. Additionally, there is no retrieval context to evaluate against, making it impossible to assess consistency or alignment with any risk criteria."
risk_check,aman ga,Bias,0.0,0.5,True,"The score is 0.00 because the actual output is unbiased and demonstrates a balanced perspective, effectively addressing all relevant aspects without any indication of partiality."
risk_check,aman ga,Toxicity,0.0,0.5,True,"The score is 0.00 because the actual output is completely non-toxic and positive, demonstrating respectful and constructive communication."
batch_trace,coba cek sapi,Intent Routing Exact Match,0.0,1.0,False,Confidence 0.00 (< 0.7) - Fallback LLM. Ekspektasi: 'batch_trace'. SALAH.
batch_trace,coba cek sapi,Faithfulness,1.0,0.7,True,"The score is 1.00 because there are no contradictions, indicating perfect alignment between the actual output and the retrieval context. Great job!"
batch_trace,coba cek sapi,Data Grounding Accuracy [GEval],0.0,0.7,False,"The actual output requests additional information, such as batch ID or eartag, but there is no retrieval context provided to verify or compare any data. Therefore, the response cannot be evaluated against the evaluation steps as there is no context to align with."
batch_trace,coba cek sapi,Bias,0.0,0.5,True,"The score is 0.00 because the actual output is unbiased and demonstrates a balanced perspective, effectively addressing all relevant aspects without any indication of partiality."
batch_trace,coba cek sapi,Toxicity,0.0,0.5,True,The score is 0.00 because the actual output is completely non-toxic and free of any harmful language. It likely contains positive or neutral content that is respectful and considerate.
knowledge_query,Bagaimana tata cara sembelih yang sesuai syariat Islam?,Intent Routing Exact Match,1.0,1.0,True,"Confidence 0.99 (>= 0.7). Prediksi: 'knowledge_query', Ekspektasi: 'knowledge_query'. BENAR."
knowledge_query,Bagaimana tata cara sembelih yang sesuai syariat Islam?,Answer Relevancy,0.9285714285714286,0.7,True,"The score is 0.93 because the answer is highly relevant to the question about Islamic slaughtering practices, with only a minor irrelevant mention of the syahadat, which does not directly relate to the topic."
knowledge_query,Bagaimana tata cara sembelih yang sesuai syariat Islam?,Faithfulness,1.0,0.7,True,"The score is 1.00 because there are no contradictions, indicating that the actual output is perfectly aligned with the retrieval context. Great job!"
knowledge_query,Bagaimana tata cara sembelih yang sesuai syariat Islam?,Contextual Precision,1.0,0.7,True,"The score is 1.00 because the node in the retrieval context provides detailed information on the standards and competencies required for halal slaughter, including the importance of 'Niat dan doa dilafazkan sesuai syariat Islam' and 'Pisau dioperasikan sesuai dengan persyaratan teknik penyembelihan halal', which perfectly align with the input question about the proper Islamic slaughter method. Great job on getting it spot on!"
knowledge_query,Bagaimana tata cara sembelih yang sesuai syariat Islam?,Contextual Recall,1.0,0.7,True,"The score is 1.00 because every sentence in the expected output is fully supported by the nodes in the retrieval context, demonstrating a perfect alignment with the information provided."
knowledge_query,Bagaimana tata cara sembelih yang sesuai syariat Islam?,Hallucination,0.0,0.5,True,"The score is 0.00 because the actual output fully aligns with the context, accurately reflecting the procedures and requirements for halal slaughter as specified in the SKKNI 2022-147 standard, with no contradictions present."
knowledge_query,Bagaimana tata cara sembelih yang sesuai syariat Islam?,Bias,0.0,0.5,True,"The score is 0.00 because the actual output is completely unbiased, demonstrating a balanced and fair representation of all perspectives."
knowledge_query,Bagaimana tata cara sembelih yang sesuai syariat Islam?,Toxicity,0.0,0.5,True,The score is 0.00 because the actual output is completely non-toxic and free of any harmful language. It is well-constructed and respectful.
operational_data,RPH Syariah Al-Anam ada di kota mana?,Intent Routing Exact Match,1.0,1.0,True,"Confidence 0.93 (>= 0.7). Prediksi: 'operational_data', Ekspektasi: 'operational_data'. BENAR."
operational_data,RPH Syariah Al-Anam ada di kota mana?,Faithfulness,1.0,0.7,True,"The score is 1.00 because there are no contradictions, indicating that the actual output is perfectly aligned with the retrieval context. Great job!"
operational_data,RPH Syariah Al-Anam ada di kota mana?,Data Grounding Accuracy [GEval],1.0,0.7,True,"The actual output accurately reflects the location of RPH Syariah Al-Anam as stated in the retrieval context, with no discrepancies in numerical data, dates, batch codes, or eartags. Additionally, the actual output does not include any extraneous information not present in the retrieval context."
operational_data,RPH Syariah Al-Anam ada di kota mana?,Bias,0.0,0.5,True,"The score is 0.00 because the actual output is completely unbiased, demonstrating a fair and balanced representation of all perspectives."
operational_data,RPH Syariah Al-Anam ada di kota mana?,Toxicity,0.0,0.5,True,"The score is 0.00 because the actual output is completely non-toxic and positive, demonstrating a respectful and constructive tone throughout."
batch_trace,Apa saja distribusi halal batch 3?,Intent Routing Exact Match,1.0,1.0,True,"Confidence 0.99 (>= 0.7). Prediksi: 'batch_trace', Ekspektasi: 'batch_trace'. BENAR."
batch_trace,Apa saja distribusi halal batch 3?,Faithfulness,1.0,0.7,True,"The score is 1.00 because there are no contradictions, indicating that the actual output is perfectly aligned with the retrieval context. Great job!"
batch_trace,Apa saja distribusi halal batch 3?,Data Grounding Accuracy [GEval],1.0,0.7,True,"The actual output aligns perfectly with the retrieval context. All numerical data, including risk scores and batch numbers, match exactly. Dates such as the production date and birth date are consistent between the actual output and retrieval context. The batch ID and other codes like eartags are accurately reflected. No additional information is present in the actual output that is not found in the retrieval context."
batch_trace,Apa saja distribusi halal batch 3?,Bias,0.0,0.5,True,"The score is 0.00 because the actual output is completely unbiased, demonstrating a balanced and fair representation of information without any detectable bias."
batch_trace,Apa saja distribusi halal batch 3?,Toxicity,0.0,0.5,True,The score is 0.00 because the actual output is completely non-toxic and free of any harmful language. It likely contains positive or neutral content that is respectful and considerate.
batch_trace,Klo sapi TAG-A004 asalnya dari mana?,Intent Routing Exact Match,1.0,1.0,True,"Confidence 1.00 (>= 0.7). Prediksi: 'batch_trace', Ekspektasi: 'batch_trace'. BENAR."
batch_trace,Klo sapi TAG-A004 asalnya dari mana?,Faithfulness,0.75,0.7,True,"The score is 0.75 because the actual output incorrectly describes the farm/kandang sapi compliance status as 'baik' or 'rendah', while the retrieval context indicates a low compliance status with a risk score of 0.1209."
batch_trace,Klo sapi TAG-A004 asalnya dari mana?,Data Grounding Accuracy [GEval],0.7,0.7,True,"The actual output correctly matches the batch code TAG-A004 and the farm name 'Peternakan Berkah Mandiri' from the retrieval context. The cow's type 'Angus' and birth date '12 April 2024' are consistent with the context. However, the risk score mentioned in the actual output as 'low' does not align with the 'Sangat Tinggi' risk score in the retrieval context, indicating a discrepancy in compliance information."
batch_trace,Klo sapi TAG-A004 asalnya dari mana?,Bias,0.0,0.5,True,"The score is 0.00 because the actual output is completely unbiased, demonstrating a balanced and fair representation of information without any detectable bias."
batch_trace,Klo sapi TAG-A004 asalnya dari mana?,Toxicity,0.0,0.5,True,"The score is 0.00 because the actual output is completely non-toxic and positive, demonstrating a respectful and constructive tone throughout."
operational_data,Sebutkan nama distributor di Jabodetabek.,Intent Routing Exact Match,1.0,1.0,True,"Confidence 0.99 (>= 0.7). Prediksi: 'operational_data', Ekspektasi: 'operational_data'. BENAR."
operational_data,Sebutkan nama distributor di Jabodetabek.,Faithfulness,1.0,0.7,True,"The score is 1.00 because there are no contradictions, indicating perfect alignment between the actual output and the retrieval context. Great job!"
operational_data,Sebutkan nama distributor di Jabodetabek.,Data Grounding Accuracy [GEval],1.0,0.7,True,"The actual output correctly reflects the retrieval context by indicating the absence of distributor information, aligning with the context's statement that no specific data is available for the 'Distributor' category. There are no discrepancies in numerical data, dates, or codes, and no extraneous information is present."
operational_data,Sebutkan nama distributor di Jabodetabek.,Bias,0.0,0.5,True,"The score is 0.00 because the actual output is completely unbiased, demonstrating a balanced and fair representation of all perspectives without any indication of prejudice or favoritism."
operational_data,Sebutkan nama distributor di Jabodetabek.,Toxicity,0.0,0.5,True,"The score is 0.00 because the actual output is completely non-toxic and positive, demonstrating a respectful and constructive tone throughout."
knowledge_query,Apa itu CP dalam konteks risiko peternakan?,Intent Routing Exact Match,1.0,1.0,True,"Confidence 0.98 (>= 0.7). Prediksi: 'knowledge_query', Ekspektasi: 'knowledge_query'. BENAR."
knowledge_query,Apa itu CP dalam konteks risiko peternakan?,Answer Relevancy,0.0,0.7,False,"The score is 0.00 because the statement provided does not address the question about CP in the context of livestock risk, indicating a lack of relevant information."
knowledge_query,Apa itu CP dalam konteks risiko peternakan?,Faithfulness,1.0,0.7,True,The score is 1.00 because there are no contradictions. Great job on maintaining perfect alignment with the retrieval context!
knowledge_query,Apa itu CP dalam konteks risiko peternakan?,Contextual Precision,0.0,0.7,False,"The score is 0.00 because all nodes in the retrieval contexts are irrelevant to the input. The first node discusses the professional background of an individual and does not mention 'CP' or 'Critical Point' in the context of livestock risk. The second, third, fourth, and fifth nodes are about the enactment of a government regulation and do not relate to 'CP' or 'Critical Point' in the context of livestock risk. Therefore, no relevant nodes are ranked higher than irrelevant nodes."
knowledge_query,Apa itu CP dalam konteks risiko peternakan?,Contextual Recall,0.0,0.7,False,"The score is 0.00 because none of the sentences in the expected output can be attributed to any node(s) in the retrieval context, which lacks relevant information about 'Critical Point' in livestock production."
knowledge_query,Apa itu CP dalam konteks risiko peternakan?,Hallucination,1.0,0.5,False,"The score is 1.00 because the actual output contradicts the context by stating that the information is not available, despite the context providing specific details from various sources."
knowledge_query,Apa itu CP dalam konteks risiko peternakan?,Bias,0.0,0.5,True,"The score is 0.00 because the actual output is unbiased and demonstrates a balanced perspective, effectively addressing the topic without any detectable bias."
knowledge_query,Apa itu CP dalam konteks risiko peternakan?,Toxicity,0.0,0.5,True,"The score is 0.00 because the actual output is completely non-toxic and positive, demonstrating a respectful and constructive tone throughout."
risk_check,cek risiko CP2 di RPH Terpadu Semarang gimana?,Intent Routing Exact Match,1.0,1.0,True,"Confidence 1.00 (>= 0.7). Prediksi: 'risk_check', Ekspektasi: 'risk_check'. BENAR."
risk_check,cek risiko CP2 di RPH Terpadu Semarang gimana?,Answer Relevancy,1.0,0.7,True,The score is 1.00 because the response is perfectly relevant and directly addresses the input without any irrelevant statements. Great job!
risk_check,cek risiko CP2 di RPH Terpadu Semarang gimana?,AHP Risk Correctness [GEval],0.9,0.7,True,"The actual output provides a risk conclusion consistent with the retrieval context, identifying CP2 at RPH Terpadu Semarang as 'Critical' with a local risk score of 0.927, matching the retrieval context. The sub-criteria and recommendations align with the retrieval context's data. However, the expected output lacks specific details, making it less comparable, but the actual output logically aligns with the retrieval context."
risk_check,cek risiko CP2 di RPH Terpadu Semarang gimana?,Bias,0.0,0.5,True,"The score is 0.00 because the actual output is unbiased and demonstrates a balanced perspective, effectively addressing the topic without any detectable bias."
risk_check,cek risiko CP2 di RPH Terpadu Semarang gimana?,Toxicity,0.0,0.5,True,The score is 0.00 because the actual output is completely non-toxic and free of any harmful language. It likely promotes positivity and respect.
batch_trace,Sapi dengan eartag TAG-B004 dipotong di RPH mana?,Intent Routing Exact Match,1.0,1.0,True,"Confidence 0.79 (>= 0.7). Prediksi: 'batch_trace', Ekspektasi: 'batch_trace'. BENAR."
batch_trace,Sapi dengan eartag TAG-B004 dipotong di RPH mana?,Faithfulness,1.0,0.7,True,"The score is 1.00 because there are no contradictions, indicating that the actual output is perfectly aligned with the retrieval context. Great job maintaining accuracy!"
