text,label
"min tips beli sapi yang sehat??",out_of_scope
"apa hukum mba gelatin dalam islam",knowledge_query
"jlasin proses samak kah thanks",knowledge_query
"lppom itu apa?",knowledge_query
"berapa total risk deh exposure?",risk_check
"mau tanya stunning tu apa?",knowledge_query
"maaf apakah mitigasi risiko sdh efektif!",risk_check
"history perpindahan batch gimana?",batch_trace
"kode batch ini ap?",batch_trace
"nomor batch berapa?",batch_trace
"apaan itu letter of guarantee?",knowledge_query
"berapa residual risk setelah mitigasi kak",risk_check
"asalnya dr farm mana sih sih",batch_trace
"corrective action completion rate berapa?",risk_check
"ada masalah keamanan gak min",risk_check
"salam kenal",greeting
"follow up temuan min sudah?",risk_check
"hei record perjalanan batch gmna?",batch_trace
"apaan bedanya farm dan rph??",knowledge_query
"tolong risk trend bulan ni naik atau turun?",risk_check
"mau tanya kualitas batch ini masih bagus?",risk_check
"apa itu cerol?",knowledge_query
"sampai jumpa nih dong",greeting
"dikirim ke outlet mana min",batch_trace
"ada issue keamanan gak?",risk_check
"min risk velocity masing-masing risiko gmna thanks",risk_check
"BTW RISK VELOCITY MASING-MASING RISIKO GMN THANKS",risk_check
"apa itu halal value chain dong",knowledge_query
"ante mortem sapi ini gimana sih",batch_trace
"catatan pengiriman batch ini ada?",batch_trace
"root cause analysis sudah dilakukan?",risk_check
"mau tanya early warning system dong aktif gak?",risk_check
"nanya dong tahun lalu produksi berapa?",operational_data
"izin potong batch b-001 ada thanks",batch_trace
"PERMISI BERAPA GAJI KERJA DI RPH?",out_of_scope
"bank digital terbaik",out_of_scope
"apa tuh fatwa halal kak",knowledge_query
"mau tanya root cause analysis udh dilakukan",risk_check
"masih mba aktif?",greeting
"summary produksi ya dong",operational_data
"sorry cara bedakan daging sapi dan babi",out_of_scope
"batch ini pernah di-recall gak?",batch_trace
"maaf tracking jne resi ini",out_of_scope
"eh data inflasi indonesia",out_of_scope
"btw pemilik ternak asal siapa",batch_trace
"performance rph gmna?",operational_data
"apaan tuh risk assessment halal?",knowledge_query
"yo",greeting
"permisi apa itu machine learning",out_of_scope
"ap itu ai?",out_of_scope
"nanya dong eartag sapi ini nomor brapa?",batch_trace
"jelaskan proses samak",knowledge_query
"kpan terakhir batch nih dicek??",batch_trace
"hei brapa residual risk setelah mitigasi?",risk_check
"BS KIRIM VIA EMAIL GAK?",operational_data
"mau tanya sampai jumpa gak",greeting
"iya paham min kak",greeting
"APA ITU SELF DECLARE HALAL?",knowledge_query
"cara kak ternak sapi",out_of_scope
"hei harga sapi kurban tahun nih min",out_of_scope
"eh ada issue keamanan gak?",risk_check
"kak rekomendasi perbaikan keamanan ap?",risk_check
"nanya dong datangnya kapan batch ini?",batch_trace
"kasih data produksi thanks",operational_data
"kah sorry info lengkap batch b-002 dong",batch_trace
"btw summary produksi deh dong",operational_data
"shelf life batch ini berapa hari lagi?",batch_trace
"min oh gitu",greeting
"btw apa itu corrective action!",knowledge_query
"KAK HEI APA ITU ISTIHALAH?",knowledge_query
"asal usulnya dr mana ya",batch_trace
"ap tu ai?",out_of_scope
"catatan pengiriman batch ini ada ya",batch_trace
"SALAM KENAL",greeting
"apa tuh ai dong",out_of_scope
"DAGING INI LAYAK MAS KONSUMSI GAK",risk_check
"kondisi keamanan pangan gimana",risk_check
"detail batch ini apa aja?",batch_trace
"LEWAT JALUR MANA PENGIRIMANNYA??",batch_trace
"MAAF ADA FILE LAPORANNYA GAK?",operational_data
"kah bsa bantu",greeting
"jelaskan perbedaan hcp dan ccp",knowledge_query
"apa itu risk assessment halal?",knowledge_query
"mau tanya data terkini apaan aja?",operational_data
"cara melamar kerja di rph ya",out_of_scope
"jelaskan verifikasi sjh",knowledge_query
"rekap data bulanan deh dong",operational_data
"permisi summary produksi dong",operational_data
"permisi daging tahan brapa lama di freezer?",out_of_scope
"mas min manajemen risiko konstruksi kak",out_of_scope
"mau tanya minggu lalu berapa batch?",operational_data
"maaf produktivitas karyawan gmn?",operational_data
"efisiensi produksi berapa?",operational_data
"nih pencapaian target brapa persen sih",operational_data
"risiko main forex",out_of_scope
"brapa gap antara actual risk dan target?",risk_check
"maaf spa yng terima di gudang?",batch_trace
"permisi penyakit nih sapi apa aja kak",out_of_scope
"cara bikin website",out_of_scope
"tahun lalu produksi berapa!",operational_data
"min bot dikirim ke outlet mana sih",batch_trace
"sorry cara belajar programming sih",out_of_scope
"maaf update data terbaru dong",operational_data
"min ap tu risk assessment halal thanks",knowledge_query
"sorry jelasin verifikasi sjh!",knowledge_query
"profit margin brp?",operational_data
"maaf risiko investasi properti sih",out_of_scope
"btw oke noted",greeting
"hei pengeluaran rph brp please",operational_data
"siapa yang terima di gudang?",batch_trace
"AP TUH ISTIHALAH?",knowledge_query
"PERBANDINGAN BULAN NIH DAN LALU",operational_data
"batch tuh artinya apaan kak",knowledge_query
"sertifikat halal rph pemotong ada dong",batch_trace
"sih nanya dong jelasin tentang sihalal gak",knowledge_query
"cara melamar kerja di rph",out_of_scope
"oke nih siap",greeting
"tren produksi min gimana?",operational_data
"probability of occurrence berapa",risk_check
"apa maksudnya skor risiko thanks",knowledge_query
"permisi masalah keamanan apa yang ditemukan?",risk_check
"jelaskan positive list bahan kak halal please",knowledge_query
"sampai jumpa??",greeting
"hari ini sudah berapa kak",operational_data
"ada warning dri sistem risiko?",risk_check
"DEH KAPAN TERAKHIR BATCH NI DICEK?",batch_trace
"record perjalanan batch gmn?",batch_trace
"cek pengiriman tokopedia",out_of_scope
"tracking jne resi ini",out_of_scope
"CATATAN PENGIRIMAN BATCH INI ADA DONG",batch_trace
"sorry daging tahan brp lama di freezer?",out_of_scope
"btw pdf laporan bulanan ada?",operational_data
"nih brp residual risk setelah mitigasi sih",risk_check
"nanya dong print data rph min",operational_data
"modal ternak sapi brp dong",out_of_scope
"permisi early warning system aktif gak min",risk_check
"BTW PAHAM",greeting
"mau tanya data terkini ap aja",operational_data
"eh ya cara belajar programming",out_of_scope
"mau tanya admin",greeting
"MIN STANDAR KEAMANAN TERPENUHI GAK DONG",risk_check
"cara bikin cv",out_of_scope
"apa hukum gelatin dalam islam?",knowledge_query
"halo mau kah tanya",greeting
"mau tanya siapa saja yang bertugas!",operational_data
"mau tanya lewat jalur mana pengirimannya?",batch_trace
"kpn terakhir batch nih dicek?",batch_trace
"btw dikirim dong ke outlet mana?",batch_trace
"hallo",greeting
"tips wawancara kerja",out_of_scope
"data covid terbaru",out_of_scope
"nanya dong tampilkan info sapi e-001",batch_trace
"eh jelasin hazard analysis halal",knowledge_query
"sorry profit margin brapa",operational_data
"maaf masih aktif?",greeting
"hei ada berapa batch hari ini?",operational_data
"mba risk velocity masing-masing risiko gmn?",risk_check
"eh jelaskan verifikasi sjh",knowledge_query
"sampai jumpa kak",greeting
"aturan alkohol dalam produk halal gmn!",knowledge_query
"skkh batch ni nomor sih berapa ya",batch_trace
"summary produksi dong dong",operational_data
"REKOMENDASI PERBAIKAN BOT KEAMANAN APA MIN",risk_check
"permisi bank digital terbaik dong",out_of_scope
"min cara dapat followers",out_of_scope
"eh masalah keamanan ap yg ditemukan?",risk_check
"mau tanya risiko main forex",out_of_scope
"SHELF LIFE BATCH INI BERAPA HARI LAGI?",batch_trace
"permisi ada update regulasi yng affect risk",risk_check
"maaf biaya operasional berapa?",operational_data
"data pengiriman batch ini ada gak ya",batch_trace
"apa maksudnya skor mas risiko?",knowledge_query
"PRIORITAS PERBAIKAN RISIKO YANG BANG MANA?",risk_check
"tolong info lengkap batch b-002 dong",batch_trace
"prosesnya sudah sampai tahap mana please",batch_trace
"eh daging tahan berapa lama di freezer?",out_of_scope
"btw masih aktif min",greeting
"contingency plan sdh siap?",risk_check
"kak oke noted?",greeting
"apaan tuh blockchain please",out_of_scope
"rph terdekat dari rumah mba dimana dong",out_of_scope
"maaf bot cara obati sapi sakit",out_of_scope
"min bot aktif?",greeting
"min cara dapat nih followers please",out_of_scope
"KAK RISK APPETITE PERUSAHAAN BRAPA?",risk_check
"near miss incident ada bot gak",risk_check
"MAAF NEAR MISS MIN INCIDENT ADA GAK?",risk_check
"apa peran bpjph?",knowledge_query
"eh aturan alkohol dalam produk halal gmna?",knowledge_query
"id sapi ini apa?",batch_trace
"sorry ap tu cerol?",knowledge_query
"JELASKAN TENTANG NKV",knowledge_query
"jelaskan hazard analysis halal",knowledge_query
"cek riwayat batch dong b-099",batch_trace
"hei bobot ahp ya itu maksudnya gimana??",knowledge_query
"bisa bantu",greeting
"APA MAS ITU RISK ASSESSMENT HALAL SIH",knowledge_query
"btw id sapi nih ap",batch_trace
"batch itu artinya apa?",knowledge_query
"min sapi kurban terbaik apaan?",out_of_scope
"asal usulnya dari mana?",batch_trace
"deh stunning tu apa?",knowledge_query
"mau tanya semua titik kritis aman min",risk_check
"ADA WARNING DRI SISTEM RISIKO THANKS",risk_check
"NANYA DONG PDF LAPORAN BULANAN ADA?",operational_data
"apakah mitigasi risiko sudah sih efektif??",risk_check
"perbandingan bulan ini dan lalu gak",operational_data
"MAU TANYA BYE!",greeting
"cara cairkan daging beku?",out_of_scope
"kpi operasional gimana gak",operational_data
"cp1 itu apa?",knowledge_query
"nanya dong ante mortem sapi nih gimana",batch_trace
"MAU TANYA BUDGET BULANAN BERAPA??",operational_data
"tolong apakah mitigasi risiko sudah efektif?",risk_check
"minta laporan mingguan gak",operational_data
"nanya dong log pergerakan batch ada?",batch_trace
"KAH OKE SIAP",greeting
"kenapa daging sapi mahal thanks",out_of_scope
"gak bs bantu?",greeting
"ada file laporannya gak thanks",operational_data
"berapa kak gap antara actual risk dan target?",risk_check
"follow up temuan sudah?",risk_check
"min cara bikin cv",out_of_scope
"tolong bisa deh bantu?",greeting
"hallo!",greeting
"permisi daging tahan berapa lama di freezer?",out_of_scope
"kak bisa bantu??",greeting
"cara bedakan daging sapi dan babi",out_of_scope
"tolong kpi operasional gimana?",operational_data
"biaya operasional berapa",operational_data
"nanya dong wow",greeting
"maaf kasih liat info sapi e-001",batch_trace
"TOLONG HELO",greeting
"good dong",greeting
"kak hallo",greeting
"siapa yang cek terakhir kali sih",batch_trace
"root cause analysis sudah bot dilakukan sih",risk_check
"mau tanya data terkini apa aja?",operational_data
"apa arti dari traceability bot kak",knowledge_query
"BOLEH TANYA",greeting
"sorry cara menabung efektif",out_of_scope
"bulan kak lalu pengiriman berapa please",operational_data
"gimana cara cek kehalalan bahan baku?",knowledge_query
"sorry minta bantuan?",greeting
"btw complaint untuk batch nih mba ada",batch_trace
"promo cashback hari sih ini",out_of_scope
"btw bang cara ternak sapi ya",out_of_scope
"nanya dong cara cairkan daging beku",out_of_scope
"boleh tanya please",greeting
"cara bedakan daging sapi dan babi!",out_of_scope
"mau tanya konsistensi nih ahp itu apa",knowledge_query
"sorry boleh tanya?",greeting
"oke deh",greeting
"data statistik penduduk thanks",out_of_scope
"EXPORT DATA KE EXCEL DONG",operational_data
"HALO ADA GAK ORANG?",greeting
"produktivitas karyawan mas gmn?",operational_data
"dadah",greeting
"apaan itu self declare halal?",knowledge_query
"mau tanya produktivitas karyawan gimana please",operational_data
"lppom tu apaan",knowledge_query
"tampilkan info sapi mas e-001 gak",batch_trace
"probability of occurrence berapa?",risk_check
"apa arti dari traceability?",knowledge_query
"ADMIN DONG",greeting
"biaya operasional berapa please",operational_data
"min modal nih ternak sapi brapa please",out_of_scope
"prosesnya sudah sampai tahap mana gak",batch_trace
"perlu perbaikan keamanan gak?",risk_check
"jelaskan hazard analysis bang halal",knowledge_query
"eartag nih fungsinya buat apa kak",knowledge_query
"sorry promo cashback hari nih",out_of_scope
"AP ITU LETTER OF GUARANTEE?",knowledge_query
"bulan lalu pengiriman berapa?",operational_data
"TOLONG PROMO CASHBACK HARI INI",out_of_scope
"btw jelaskan tentang sihalal",knowledge_query
"BTW STRESS TESTING YA HASILNYA GIMANA THANKS",risk_check
"kah apaan tuh istihalah?",knowledge_query
"record perjalanan batch gmna gak",batch_trace
"mau tanya nomor batch berapa?",batch_trace
"jelasin proses samak",knowledge_query
"sorry ada residu antibiotik di batch nih?",batch_trace
"apa itu halal value chain please",knowledge_query
"mui itu organisasi apa?",knowledge_query
"mau tanya apa itu ai?",out_of_scope
"CARA BEDAKAN DAGING SAPI DAN BABI",out_of_scope
"maaf daging tahan brapa lama di freezer?",out_of_scope
"near miss incident ada gak thanks",risk_check
"batch ini min pernah di-recall gak sih",batch_trace
"tampilin semua data min",operational_data
"brapa gaji kerja di rph please",out_of_scope
"bot nomor resi pengiriman brp",batch_trace
"halo mau tanya ya",greeting
"tolong daging ni layak konsumsi gak?",risk_check
"permisi wassalam min",greeting
"min proses pemotongan sesuai standar??",risk_check
"mau tanya ada file laporannya gak?",operational_data
"eh history perpindahan batch gimana?",batch_trace
"maaf daftar petugas dong",operational_data
"apaan tu letter of guarantee dong",knowledge_query
"skkh batch ini nomor berapa?",batch_trace
"maaf paham",greeting
"pencapaian target brp persen?",operational_data
"list karyawan mba dong!",operational_data
"SIAPA YANG CEK KAK TERAKHIR KALI",batch_trace
"kak nih cek pengiriman tokopedia",out_of_scope
"sorry gimana cara cek kehalalan bahan baku??",knowledge_query
"jelaskan hazard deh analysis halal",knowledge_query
"KIRIM DATA OPERASIONAL",operational_data
"sorry performance rph gimana?",operational_data
"permisi update data terbaru dong",operational_data
"eartag fungsinya buat ap?",knowledge_query
"root sih cause analysis udah dilakukan??",risk_check
"CARA CAIRKAN DAGING BEKU",out_of_scope
"HEI PERBANDINGAN BULAN INI DAN LALU",operational_data
"MBA PING??",greeting
"YA SORRY JELASKAN PERBEDAAN HCP DAN CCP",knowledge_query
"tahun lalu produksi berapa please",operational_data
"tolong near miss incident ada gak dong",risk_check
"maaf bang siapa saja yang bertugas?",operational_data
"tips beli sapi yng sehat",out_of_scope
"apa syarat juru sembelih halal?",knowledge_query
"boleh tanya min",greeting
"eh permisi ya",greeting
"DONG PAHAM",greeting
"maaf salam kenal",greeting
"eh pencapaian gak target berapa persen ya",operational_data
"mengerti gak",greeting
"woi",greeting
"BATCH ITU ARTINYA APAAN THANKS",knowledge_query
"tolong log pergerakan batch ada?",batch_trace
"eh salam kenal",greeting
"min uji mikrobiologi batch ini hasilnya gak",batch_trace
"ap tu corrective action?",knowledge_query
"permisi produktivitas karyawan gimana min",operational_data
"HEI EARTAG SAPI INI NOMOR BRAPA?",batch_trace
"ada warning dari sistem risiko?",risk_check
"kode voucher gratis ongkir ya",out_of_scope
"tolong oh gitu",greeting
"tolong budget bulanan berapa",operational_data
"excel data produksi ada?",operational_data
"bobot ahp itu maksudnya gimana?",knowledge_query
"nanya dong gak test",greeting
"permisi outlet mana yang sudah terima ya",batch_trace
"ping",greeting
"ada file laporannya gak?",operational_data
"brp sih residual risk setelah mitigasi?",risk_check
"min hy mba thanks",greeting
"nanya dong proses pemotongan sesuai standar kah dong",risk_check
"tolong ada brp batch hari nih",operational_data
"btw min",greeting
"apaan tuh istihalah?",knowledge_query
"efisiensi produksi berapa sih",operational_data
"tampilkan info sapi e-001!",batch_trace
"eh chart pengiriman dong",operational_data
"MAU TANYA DONG BOT AKTIF?",greeting
"helo ya",greeting
"ya cara bikin website!",out_of_scope
"sih jlasin perbedaan hcp dan ccp",knowledge_query
"eh minggu lalu berapa batch?",operational_data
"perbandingan bulan ini dan lalu",operational_data
"admin",greeting
"hei ada brapa batch hari ni kak",operational_data
"mau tanya cara menabung efektif",out_of_scope
"min met pagi",greeting
"JLASIN TENTANG NKV DONG",knowledge_query
"apa fungsi cold chain?",knowledge_query
"apaan tu cerol?",knowledge_query
"berapa residual risk setelah mitigasi?",risk_check
"lihat jejak perjalanan batch ini",batch_trace
"apa itu surveillance audit ya",knowledge_query
"kode voucher gratis kak ongkir!",out_of_scope
"jelaskan positive list bahan halal thanks",knowledge_query
"pemilik ternak asal spa sih",batch_trace
"min rekap data min bulanan dong",operational_data
"kak complaint utk batch ni ada ya",batch_trace
"good nih min",greeting
"perjalanan batch nih gimana?",batch_trace
"update data terbaru dong",operational_data
"btw tren produksi gimana",operational_data
"mba near miss incident ada gak please",risk_check
"maaf bulan lalu pengiriman min berapa?",operational_data
"kak apa itu machine learning?",out_of_scope
"min penyakit sapi apa aja?",out_of_scope
"nomor batch brp?",batch_trace
"jlasin tentang sihalal",knowledge_query
"iya mba paham",greeting
"btw surat jalan batch ini ada?",batch_trace
"sorry tampilkan info sapi e-001 dong",batch_trace
"cara bedakan daging sapi dan babi gak",out_of_scope
"BTW DOKUMEN BATCH INI LENGKAP?",batch_trace
"rph terdekat dari rumah dimana ya",out_of_scope
"JELASKAN PROSES SAMAK",knowledge_query
"masalah keamanan apa yng ditemukan?",risk_check
"info lengkap batch b-002 dong",batch_trace
"pdf laporan bulanan ada dong",operational_data
"apa itu istihalah sih",knowledge_query
"alamat farm asal sapi ini dimana?",batch_trace
"hei daging ini layak konsumsi gak?",risk_check
"nanya dong helo",greeting
"keren!",greeting
"sapi kurban terbaik apa please",out_of_scope
"hei tahun min lalu produksi brp thanks",operational_data
"daging tahan berapa lama di freezer min",out_of_scope
"nanya dong fasilitas pemotongan lolos standar gak?",risk_check
"nih ringkasan operasional mingguan!",operational_data
"grafik mas produksi ada!",operational_data
"btw ringkasan sih operasional mingguan",operational_data
"maaf ap syarat juru sembelih halal!",knowledge_query
"bang yo?",greeting
"min dikirim ke dong outlet mana?",batch_trace
"maaf grafik produksi ada",operational_data
"nih kak permisi",greeting
"tolong apa tu istihalah?",knowledge_query
"cara menabung deh efektif min",out_of_scope
"btw nomor resi pengiriman berapa thanks",batch_trace
"sesuai sop keamanan gak?",risk_check
"min bang please",greeting
"btw berapa total risk exposure thanks",risk_check
"sorry sampai jumpa ya",greeting
"id sapi nih apa?",batch_trace
"shelf life batch ini kah berapa hari lagi kak",batch_trace
"hei kirim data operasional",operational_data
"ringkasan operasional mingguan",operational_data
"nanya dong biaya operasional berapa?",operational_data
"pengeluaran rph brp?",operational_data
"ya kak keren?",greeting
"nih nanya dong oke deh",greeting
"MBA REKAP DATA BULANAN DONG",operational_data
"PERMISI JELASKAN VERIFIKASI SJH",knowledge_query
"lowongan kerja di rph ada sih",out_of_scope
"maaf jlasin positive bot list bahan halal??",knowledge_query
"tolong bank digital terbaik",out_of_scope
"jelaskan verifikasi sjh please",knowledge_query
"ap hukum gelatin dalam islam min",knowledge_query
"hei hari nih udah brp?",operational_data
"bot dikirim ke outlet mana?",batch_trace
"efisiensi produksi brp",operational_data
"risiko investasi properti??",out_of_scope
"lihatkan laporan dong",operational_data
"nanya dong masalah keamanan apa yng ditemukan kak",risk_check
"apa tuh dong uu jph?",knowledge_query
"stunning tu apa min",knowledge_query
"budget bulanan brp?",operational_data
"apa itu istihalah?",knowledge_query
"kapan terakhir batch ini dicek?",batch_trace
"hei yo gak",greeting
"HEI MIN",greeting
"kak tampilin semua data",operational_data
"cara bedakan daging sapi dan babi kak",out_of_scope
"kak penyakit sapi ap aja?",out_of_scope
"ada emerging risk baru gak thanks",risk_check
"kak rph min itu apa sih sih",knowledge_query
"NANYA DONG NEAR MISS INCIDENT ADA SIH GAK?",risk_check
"maaf cara belajar programming gak",out_of_scope
"root cause analysis sdh dilakukan",risk_check
"mas kak manajemen risiko konstruksi dong",out_of_scope
"apa yang dimaksud titik kritis kak",knowledge_query
"kualitas batch ini masih bagus?",risk_check
"mas perjalanan batch ini gmna?",batch_trace
"follow up temuan dong sudah!",risk_check
"stress testing hasilnya gmn",risk_check
"minggu lalu berapa batch",operational_data
"kak risk trend bulan ini naik atau turun kak",risk_check
"sampai jumpa",greeting
"kak cara dapat followers",out_of_scope
"tahun lalu produksi berapa?",operational_data
"min halo ada orang?",greeting
"HISTORY PERPINDAHAN BATCH GIMANA",batch_trace
"oh kah gitu",greeting
"risk concentration di area mana?",risk_check
"PERMISI DADAH",greeting
"nanya dong apa tu ai!",out_of_scope
"masalah keamanan apa yang ditemukan?",risk_check
"oke siap",greeting
"data bot inflasi indonesia gak",out_of_scope
"mantap",greeting
"oke siap ya",greeting
"maaf info lengkap batch b-002 dong",batch_trace
"oke dong siap?",greeting
"eh maaf ganggu",greeting
"progress target produksi gimana thanks",operational_data
"near miss incident ada sih gak sih",risk_check
"SORRY AP YG DIMAKSUD TITIK KRITIS?",knowledge_query
"kak salam kenal",greeting
"nanya dong nomor resi pengiriman berapa please",batch_trace
"kondisi keamanan pangan gimana?",risk_check
"sorry nomor resi pengiriman berapa",batch_trace
"mas test",greeting
"gak data statistik penduduk dong",out_of_scope
"chart pengiriman dong",operational_data
"detail batch ini min apa aja?",batch_trace
"hei dikirim ke outlet mana thanks",batch_trace
"tolong probability of occurrence berapa!",risk_check
"eartag fungsinya buat min apa dong",knowledge_query
"ada file laporannya gak",operational_data
"cek riwayat batch b-099 ya",batch_trace
"biaya operasional berapa min",operational_data
"btw berapa gaji kerja di rph?",out_of_scope
"tolong ada file kah laporannya gak?",operational_data
"min cara ternak sapi",out_of_scope
"tips wawancara kerja dong",out_of_scope
"min ada brapa batch hari nih!",operational_data
"RISK REGISTER SUDAH DI-UPDATE DONG",risk_check
"nanya dong jelaskan tentang nkv",knowledge_query
"nanya dong cek pengiriman tokopedia min",out_of_scope
"nice min",greeting
"tolong manajemen risiko konstruksi",out_of_scope
"tolong corrective action completion rate berapa sih",risk_check
"boleh tanya?",greeting
"tolong detail batch ini apaan aja?",batch_trace
"tolong halo ada orang?",greeting
"kualitas batch ni masih bagus?",risk_check
"contingency plan udh siap kak",risk_check
"stress testing hasilnya gmn?",risk_check
"eh kualitas batch ini masih bagus sih",risk_check
"apa syarat juru sembelih halal ya",knowledge_query
"DAGING TAHAN BERAPA LAMA DI FREEZER?",out_of_scope
"APA TU LETTER YA OF GUARANTEE?",knowledge_query
"btw biaya operasional brp sih ya",operational_data
"tolong paham min",greeting
"nih good",greeting
"mau tanya dikirim ke ya outlet mana thanks",batch_trace
"excel data produksi ada kak",operational_data
"lewat jalur mana pengirimannya?",batch_trace
"follow up temuan udh?",risk_check
"performance bang rph gimana?",operational_data
"maaf near miss incident ya ada gak min",risk_check
"permisi bagus",greeting
"test",greeting
"lacak mas hp hilang",out_of_scope
"KAK CARA MENABUNG EFEKTIF",out_of_scope
"eh near miss incident ada gak?",risk_check
"min sorry jlasin proses samak",knowledge_query
"mengerti dong",greeting
"btw bot produktivitas karyawan gimana min",operational_data
"stunning itu apa?",knowledge_query
"hei standar keamanan nih terpenuhi gak?",risk_check
"jelaskan tentang sihalal ya",knowledge_query
"MIN APA SYARAT JURU SEMBELIH HALAL?",knowledge_query
"oke deh!",greeting
"lacak hp gak hilang",out_of_scope
"lacak hp hilang",out_of_scope
"nanya dong prioritas perbaikan risiko yang mana?",risk_check
"KONDISI KEAMANAN DEH PANGAN GMNA",risk_check
"MIN ADA RESIDU ANTIBIOTIK NIH DI BATCH NIH YA",batch_trace
"btw halal tu ap sih sebenarnya min",knowledge_query
"siapa yang cek terakhir kali?",batch_trace
"met pagi please",greeting
"harga sapi kurban tahun ini sih",out_of_scope
"eh probability of occurrence berapa please",risk_check
"mau tanya paham",greeting
"min cp1 itu apa?",knowledge_query
"complaint buat batch nih ada?",batch_trace
"rph tu singkatan apaan?",knowledge_query
"sorry gak produktivitas karyawan gimana?",operational_data
"catatan pengiriman batch nih ada kak",batch_trace
"risk appetite perusahaan brapa?",risk_check
"daging tahan berapa lama di freezer?",out_of_scope
"history perpindahan batch gimana",batch_trace
"risk velocity masing-masing mas risiko gimana",risk_check
